,name,rating,ctype,highly_rated,hq,reviews_K,no_of_employees,desc
149,Future Group,4.3,Retail ,"Skill Development / Learning, Company Culture, Work Life Balance", Mumbai ,3.2, 10k-50k ,"Rewrite Rules, Retain Values – this simple idea has been at the core of our business since the inception of Future Group. Today, a wide portfolio of brands in food, FMCG and fashion, complement the country’s pioneering modern retail networks.

More than 600 million customer visits are recorded across the 2,000 Future Group retail stores, covering over 24 million square feet of space in over 400 cities and towns. Millions more interact with group’s brands and businesses through ecommerce sites, social media and mobile apps like FuturePay and EasyDay Club.

In fashion, our manufacturing facilities produce garments designed and sourced by a talented team of trend-spotters, designers and merchandizers. Brands like Lee Cooper, John Miller, CoverStory, Indigo Nation, Scullers, Knighthood, DJ&C, Bare, UMM, and Ancestry are some of our key brands.

The flagship retail brand Big Bazaar is ranked among the most valuable Indian brands (Interbrand), and among the most trusted brands (Nielsen). Leading department store network, Central, smart prices retailer, Brand Factory, and popular fashion destination FBB are also a part of the group, along with a growing chain of small neighbourhood stores, EasyDay and Heritage Fresh, and convenience stores WH Smith and 7-Eleven."
150,Piramal Capital Housing Finance,4.3,NBFC ,"Company Culture, Skill Development / Learning, Work Life Balance", Mumbai ,3.2, 1k-5k ,"Piramal Capital & Housing Finance (PCHF), a wholly owned subsidiary of Piramal Enterprises Limited (the flagship company of Piramal Group), is registered as a housing finance company with National Housing Bank (NHB) and engaged in various financial services businesses. It provides both wholesale and retail funding opportunities across sectors. 

In real estate, the platform provides housing finance and other financing solutions across the entire capital stack ranging from early-stage private equity, structured debt, senior secured debt, construction finance, and Flexi lease rental discounting. Hospitality sector financing is a recent foray of PCHF. 

Here we are providing financing solutions to hotels that will be operated by branded players in established and emerging markets. The wholesale business in the non-real estate sector includes separate verticals - Corporate Finance Group (CFG) and Emerging Corporate Lending (ECL). CFG provides customized funding solutions to companies across sectors such as infrastructure, renewable energy, roads, industrials, auto components, etc. while ECL focuses on lending to Small and Medium Enterprises (SMEs)."
151,Aditya Birla Fashion and Retail,4.2,Fashion & Textile ,"Skill Development / Learning, Job Security, Company Culture", Mumbai ,3.2, 10k-50k ,"Aditya Birla Fashion and Retail Ltd. (ABFRL) emerged after the consolidation of the branded apparel businesses of Aditya Birla Group comprising ABNL's Madura Fashion division and ABNL's subsidiaries Pantaloons Fashion and Retail (PFRL) and Madura Fashion & Lifestyle (MFL) in May 2015. Post the consolidation, PFRL was renamed Aditya Birla Fashion and Retail Ltd. ABFRL is a part of the Aditya Birla Group, a US$ 48.3 billion Indian multinational, in the league of Fortune 500. Anchored by an extraordinary force of over 120,000 employees, belonging to 42 nationalities, the Aditya Birla Group operates in 34 countries across the globe."
152,Muthoot Fincorp,4.1,NBFC ,"Job Security, Skill Development / Learning, Work Life Balance", Trivandrum/Thiruvananthapuram ,3.2, 10k-50k ,"Muthoot Fincorp Ltd., the flagship company of Muthoot Pappachan Group, is one of the largest NBFCs in India, registered with the Reserve Bank of India. Muthoot Fincorp has over 3500 branches across India with an average walk in of over 75,000 customers per day. The company has a diverse mix of retail offerings catering to the various needs of its customers including Gold Loans, Business Loans, Housing Loan, Auto Loans, Money Transfer, Foreign Exchange, Insurance Services and Wealth Management Services. Muthoot Fincorp is a provider of mass finance in the form of gold loans. Decades of dedicated research and experience in rural strongholds have enabled the Company to provide quick and customised finance options and investment schemes for millions of customers who do not have access to mainstream commercial banks"
153,Royal Enfield,4.3,Automobile ,"Skill Development / Learning, Work Satisfaction, Company Culture", Gurgaon/Gurugram ,3.1, 5k-10k ,"The oldest motorcycle brand in continuous production, Royal Enfield made its first motorcycle in 1901. A division of Eicher Motors Limited, Royal Enfield has created the mid-sized motorcycle segment in India with its unique and distinctive modern classic bikes. 

With its new manufacturing base in Chennai, India, Royal Enfield is able to grow its production rapidly against a surge in demand for its motorcycles. With more than 50% growth every year for the last 5 years, Royal Enfield is fast becoming a very important player in the global mid-size motorcycle market and is working towards re-inventing this space with motorcycles that are evocative and engaging, and great fun to ride. 

Royal Enfield’s product line‐up in India includes the Bullet, Classic and Thunderbird models in 350 and 500cc displacement along with Continental GT 535cc café racer and the purpose built Himalayan powered by the new LS410 engine. Royal Enfield operates through 17 company-operated stores and 705+ dealers in all major cities and towns in India, and exports to over 50 countries across the world including the USA, UK, several European and Latin American countries, as well as the Middle East and South East Asia.

Royal Enfield also organizes and supports many motorcycling events and rides globally, more prominently the Rider Mania – an annual gathering of Royal Enfield riders from all over the world to the lovely beaches of Goa, and the Himalayan Odyssey, the most arduous motorcycle ride over some of the toughest roads and highest mountain passes in the Himalayas. Royal Enfield also conducts the popular ‘One Ride’ where people around the world ride out on their motorcycles on the first Sunday of April."
154,L&T Finance,4.0,NBFC ,"Salary & Benefits, Skill Development / Learning", Mumbai ,3.1, 10k-50k ,"Headquartered in Mumbai, L&T Finance Holdings Ltd. is one of the leading Non-Banking Financial Companies (NBFCs) in India with a strong presence across the lending business catering to the diverse financing needs of the served and underserved customers. Through its entity L&T Finance Ltd., it offers Personal loans, Two-Wheeler loans, Home loans, Micro loans, Farm Loans & SME Loans. At L&T Finance, we are committed to providing customised financial solutions that meet the unique needs of our customers. With a focus on innovation and customer-centricity, we aim to be a trusted partner in our customers' financial journey."
155,Viatris,4.3,Pharma ,"Salary & Benefits, Job Security, Work Life Balance", Canonsburg ,3.0, 10k-50k ,"Viatris is a global healthcare company formed in 2020 through the combination of Mylan and Upjohn, a legacy division of Pfizer. By integrating the strengths of these two companies, including our global workforce of ~45,000, we aim to deliver increased access to affordable, quality medicines for patients worldwide, regardless of geography or circumstance. Our global portfolio includes best-in-class, iconic brand-name products as well as global key brands; generics, including branded and complex generics; biosimilars; and over-the-counter offerings across a wide range of therapeutic areas. We are committed to helping create healthier communities worldwide through education, outreach and better access to treatment. At Viatris, we have one of the strongest global commercial infrastructures in the industry, with a balanced reach across North America, Europe, the Asia Pacific region and emerging markets. Our high-quality global manufacturing, scientific excellence and vast supply chain network mean we are uniquely positioned to improve access to medicine for patients worldwide."
156,Tata Communications,4.2,Telecom ,"Job Security, Company Culture, Skill Development / Learning", Mumbai ,3.1, 5k-10k ,"Tata Communications is a digital ecosystem enabler that powers today’s fast-growing digital economy.

The Company enables the digital transformation of enterprises globally, including 300 of the Fortune 500 – unlocking opportunities for businesses by enabling borderless growth, boosting product innovation and customer experience, improving productivity and efficiency, building agility and managing risk. With its solutions orientated approach, proven managed service capabilities and cutting-edge infrastructure, Tata Communications drives the next level of intelligence powered by cloud, mobility, Internet of Things (IoT), collaboration, security and network services. 

Tata Communications carries around 30% of the world’s internet routes and connects businesses to 60% of the world’s cloud giants and 4 out of 5 mobile subscribers. The Company’s capabilities are underpinned by its global network, the world’s largest wholly owned subsea fibre backbone and a Tier-1 IP network with connectivity to more than 200 countries and territories. Tata Communications Limited is listed on the Bombay Stock Exchange and the National Stock Exchange Tata Communications has been a part of the rich heritage of the internet in India. Over the last 25 years, enterprise-enabled services have been essential to the adoption of digital services in the country. From utility to transformation, connectivity is an essential fabric of sustenance for the economy. 

Tata Communications is committed to enabling Industry leaders in this New World of Communications™, with our unique promise of delivering secure connected digital experiences."
157,Samvardhana Motherson Group,3.8,Auto Components ,Job Security, Noida ,3.0, 1k-5k ,"Samvardhana Motherson Group (SMG) combines the power of innovation and product quality to passionately create world class products that cater to customer needs across diverse industries, especially automotive. Founded in 1975, the Group has a diversified industry-leading portfolio of auto ancillary products and services that make it a full system solutions provider for its customers across the globe. With market leading products ranging from Electrical Distribution Systems, automotive rearview mirrors, polymer processing, lighting systems, air intake manifolds and HVAC systems. SMG’s principal focus is the automotive industry, globally and in India. SMG is a leading supplier to automotive industry globally. It also serves wide number of other industries. The Group recorded a turnover of USD 11.7 billion (approx.) during 2018-19."
158,Intas Pharmaceuticals,4.2,Pharma ,"Job Security, Salary & Benefits, Work Life Balance", Ahmedabad ,3.0, 10k-50k ,"Intas is a leading, vertically integrated global pharmaceutical formulation development, manufacturing and marketing company headquartered in India. In the domestic market, Intas enjoys leadership position in chronic therapies such as Neurology, Psychiatry, Cardiovasculars, Diabetes, Oncology, Urology, Nephrology, Rheumatology & Gynecology, Infertility, Gastroenterology, Pain Management and healthy presence in other major therapeutic segments. Besides well-established domestic prominence, Intas is also present in more than 80 countries worldwide with robust sales, marketing and distribution infrastructure in markets like North America, Europe, Central & Latin America, Africa, Australia, New Zealand, Asia-Pacific as well as CIS and MENA countries. Intas' global strategy includes alliances with leading Global Pharma Companies for development and distribution of products as well as direct product distribution. The company is known for its range of products in Oncology and other hospital based therapeutic segments in the EU and US. After the landmark acquisition of Teva's assets, Intas has become a leading player in the generics market in the UK."
159,LG Electronics,4.1,Consumer Electronics & Appliances ,"Job Security, Skill Development / Learning, Salary & Benefits", Seoul ,3.0, 1k-5k ,"LG Electronics India Pvt. Ltd., a wholly owned subsidiary of LG Electronics, South Korea was established in January 1997 in India. It is one of the most formidable brands in consumer electronics, home appliances, IT hardware and mobile communications space. We transform customers’ inspiration to challenge the existing boundaries with technology and innovation! It enables customers to maximize their potential and enjoy life by empowering them to be more liberated through its innovative & convenient technology solutions. By proactively sensing and understanding customers’ needs and desires, we create products that are truly intuitive, easy to use and inspire customers to do more. This enables customers to enjoy “Life’s Good” moments all the time. LG is inspired by customers and promises to make life easier and more enjoyable with products, technologies and solutions, which are smart, convenient and intuitive."
160,John Deere,4.3,Industrial Machinery ,"Company Culture, Skill Development / Learning, Work Life Balance", Moline ,3.0, 5k-10k ,"Deere & Company is a world leader in providing advanced products and services and is committed to the success of customers whose work is linked to the land - those who cultivate, harvest, transform, enrich and build upon the land to meet the world's dramatically increasing need for food, fuel, shelter and infrastructure. Since 1837, John Deere has delivered innovative products of superior quality built on a tradition of integrity."
161,Varun Beverages,4.1,Beverage ,"Job Security, Salary & Benefits", Gurgaon/Gurugram ,3.0, 5k-10k ,"Varun Beverages Limited (VBL or Company) is a key player in the beverage industry and one of the largest franchisees of PepsiCo in the world (outside the USA). The Company produces and distributes a wide range of carbonated soft drinks (CSDs), as well as a large selection of non-carbonated beverages (NCBs), including packaged drinking water sold under trademarks owned by PepsiCo. PepsiCo CSD brands produced and sold by VBL include Pepsi, Diet Pepsi, Seven-Up, Mirinda Orange, Mirinda Lemon, Mountain Dew, Mountain Dew Ice, Seven-Up Nimbooz Masala Soda, Evervess, Sting, Gatorade, and Slice Fizzy Drinks. PepsiCo NCB brands produced and sold by the Company include Tropicana Slice, Tropicana Juices (100%, Delight, Essentials), Nimbooz, as well as packaged drinking water under the brand Aquafina. VBL has been associated with PepsiCo since the 1990s and has over two and half decades consolidated its business association with PepsiCo, increasing the number of licensed territories and sub-territories covered by the Company, producing and distributing a wider range of PepsiCo beverages, introducing various SKUs in the portfolio, and expanding the distribution network. As of date, VBL has been granted franchises for various PepsiCo products across 27 States and 7 Union Territories in India. VBL has 31 manufacturing plants in India and 6 manufacturing plants in international geographies (two in Nepal and one each in Sri Lanka, Morocco, Zambia, and Zimbabwe). VBL’s share of PepsiCo beverages volume sales increased from ~ 26% in Fiscal 2011 to 85%+ now. Although India is VBL’s largest market, it has also been granted the franchise for various PepsiCo products for the territories of Nepal, Sri Lanka, Morocco, Zambia, and Zimbabwe. VBL is part of the RJ Corp group, a diversified business conglomerate with interests in beverages, quick-service restaurants, dairy, and healthcare. VBL’s Promoter and Chairman Mr. Ravi Kant Jaipuria has an established reputation as an entrepreneur and business leader and is the only Indian to receive PepsiCo’s International Bottler of the Year award, which was awarded in 1997. He was also awarded the ‘Distinguished Entrepreneurship Award’ at the PHD Annual Awards for Excellence 2018."
162,Kogta Financial India Limited,4.8,NBFC ,"Company Culture, Work Life Balance, Work Satisfaction", Jaipur ,3.0, 1k-5k ,"We are a progressive fast-growing retail-focussed, Non Banking Finance Company (NBFC). Incorporated in 1996 by a team of dynamic entrepreneurs - Shri Banwari Lal Kogta, Shri Bal Mukund Kogta and Shri Radha Krishan Kogta, we are currently steered by the next-generation meritocratic leaders including Arun Kogta (MD & CEO), Varun Kogta (ED & CFO) and Nayan Kogta (COO). For over 25 years, we have garnered deep experience in the asset finance business. We offer loans for the purchase of commercial vehicles, four-wheelers, tractor and disburse Loan Against Property (LAP) and Secured Business Loans to the SME/MSME segment."
163,Persistent Systems,3.8,IT Services & Consulting ,Company Culture, Pune ,3.0, 10k-50k ,"We are a trusted Digital Engineering and Enterprise Modernization partner, combining deep technical expertise and industry experience to help our clients anticipate what’s next ad take action to drive tangible business outcomes. We work with many industry-leading organizations across the world including 14 of the 30 most innovative US companies, 80% of the largest banks in the US and India, and numerous innovators across the healthcare ecosystem. Through the efforts of our employees located in 19 countries around the world, we are recognized as the market leaders in delivery and customer excellence, as rated by ISG Persistent, and were recently named to the Forbes Asia Best Under a Billion 2021 list."
164,Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances ,Job Security, Mumbai ,2.9, 10k-50k ,"Godrej is one of India’s most trusted brands serving over 1.1bn customers worldwide, every day. Godrej & Boyce, a Godrej group company, began it's journey in 1897 with the manufacture of high quality locks and continues with its outstanding engineering capabilities across diverse categories – from consumer goods and furniture, precision manufacturing and aerospace, infrastructure development, and industrial logistics to real estate and power distribution. At Godrej, we enable you to do work that’s good for you, your customers, your community and good for the people around you - essentially, work that you can be proud of."
165,Randstad,3.9,Recruitment ,"Promotions / Appraisal, Job Security", Chennai ,2.9, 5k-10k ,"We live in a post-digital age, an era of constant technological change, transforming rapidly the way we live, work and relate to each other. Technology has become an everyday component in our lives; it is the invisible engine that powers the world around us. In a 24/7 economy, clients have different needs. The way they work is changing and this also influences the skills and talent they need. New, digital HR solutions and tools are disrupting our market by drastically changing the way people connect to jobs and the role we play in this space. Clients and candidates expect to be served anywhere, anytime, and through any device, in a way we never imagined possible before, influencing the way we work.
Therefore, Randstad is investing heavily in new technologies, making a giant leap forward into the world of tech. We are acquiring external knowledge and expertise through acquisitions and the Randstad Innovation Fund, and innovating through our Digital Factory. It will enable us to shape our new role and ensure our leading position in an industry becoming predominantly digital and data driven.
Where others brace for disruption, we see underlying continuity. Our ongoing journey is not just about digital transformation. While innovative technology will be necessary for connecting clients and candidates in the future, improving our tools is not the end of the story. Offering a seamless digital experience is only the price of entry – what matters most and will have a greater impact than ever before is our unique added value: the human touch we bring to the table. In a fast changing digital world clients and candidates want a trusted human partner. It is here, at the intersection between technology and humanity, where we can distinguish ourselves from our competitors by delivering a true human experience."
166,Thermax Limited,4.2,Industrial Machinery ,"Job Security, Company Culture, Skill Development / Learning", Pune ,2.9, 1k-5k ,"Thermax Group is an INR 4,899 Cr. (661 Million US$) company headquartered in Pune, India. Its business portfolio includes products for heating, cooling, water and waste management, and specialty chemicals. The company also designs, builds and commissions large boilers for steam and power generation, turnkey power plants, industrial and municipal wastewater treatment plants, waste heat recovery systems and air pollution control projects.The systems, products and services developed by Thermax help industry achieve better resource productivity and improve bottom lines, while maintaining a cleaner environment. Even as we convert costs to profits, we help to protect the environment in our own limited ways. A win-win for industry and the society at large.We operate globally through 29 international offices and 14 manufacturing facilities – 10 of which are in India and 4 overseas.Our presence spans 88 countries and supports customers through an extensive sales & service network spread over Asia, South East Asia, Middle East, Africa, Europe and the Americas.The group consists of 7 wholly owned domestic subsidiaries and 21 wholly owned overseas subsidiaries."
167,Hetero Drugs,3.9,Pharma ,Job Security, Hyderabad/Secunderabad ,2.9, 1k-5k ,"Hetero is one of India’s leading generic pharmaceutical companies and is one of the world’s largest producer of anti-retroviral drugs for the treatment of HIV/AIDS. With more than 20 years of expertise in the pharmaceutical industry, Hetero’s strategic business areas include APIs, generics and biosimilars. 
Hetero also offers custom pharmaceutical services to its partners around the world. The company is recognized for its strengths in Research and Development, manufacturing and commercialization of a wide range of products.  
Hetero has more than 25 state-of-the-art manufacturing facilities strategically located worldwide. 
Majority of our facilities have been successfully audited and approved by stringent regulatory authorities like US FDA, EU, TGA-Australia, MCC-South Africa and others. Our portfolio includes more than 200 products, encompassing major therapeutic categories such as HIV/AIDS, Oncology, Cardiovascular, Neurology, Hepatitis, etc"
168,Deutsche Bank,4.1,Banking ,"Job Security, Work Life Balance, Company Culture", Frankfurt ,2.9, 10k-50k ,"Deutsche Bank is the leading German bank with strong European roots and a global network. The bank focuses on its strengths in a Corporate Bank newly created in 2019, a leading Private Bank, a focused investment bank, and asset management. We provide banking services to companies, governments, institutional investors, small and medium-sized businesses, and private individuals. Deutsche Bank was founded in 1870 to accompany German businesses into the world. We’ve worked across borders ever since. We have established strong bases in all major emerging markets, and therefore have good prospects for business growth in fast-growing economies, including the Asia Pacific region, Central and Eastern Europe, and Latin America. In Europe, we are well placed to benefit from the aforementioned resilient conditions in our home market, Germany, and from continued strong levels of corporate activity in the euro zone."
169,Macleods Pharmaceuticals,3.8,Pharma ,Job Security, Mumbai ,2.9, 10k-50k ,"A Vertically Integrated Global Pharmaceutical CompanyHaving a vision to provide quality healthcare to humanity and with special focus on essential and difficult to make medicines, Macleods Pharmaceuticals Ltd, was incorporated in 1986.Macleods has enjoyed rapid growth in the recent years, growing at an average growth rate of over 22% for the past 5 years.Macleods with its experience spanning more than two decades has emerged as a force to reckon with in global pharmaceutical market. With an asset of more than 10,000 professionally qualified employees across the globe, Macleods a multiple location organization, is based out of Mumbai, India.With expertise in range of formulations ranging from tablets to sterile dosage form and from inhalation to novel drug delivery system, Macleods is currently ranked 10th (on mat basis source IMS) in Indian Pharmaceutical Industry and is recognized as one of the fastest growing pharmaceutical company in India. Pioneering efforts of Macleods in providing medications for both chronic and acute therapy, with world- class state-of-the-art manufacturing facilities approved by various regulatory authorities of many countries and well equipped R&D, analytical and bioequivalence center audited by various regulatory authorities makes Macleods truly a global pharmaceutical company"
170,Havells,4.1,Electrical Equipment ,"Work Life Balance, Salary & Benefits, Company Culture", Noida ,2.9, 5k-10k ,"Havells India Limited is a leading Fast Moving Electrical Goods (FMEG) Company and a major power distribution equipment manufacturer with a strong global presence. Havells enjoys enviable market dominance across a wide spectrum of products, including Industrial & Domestic Circuit Protection Devices, Cables & Wires, Motors, Fans, Modular Switches, Home Appliances, Air Conditioners, Electric Water Heaters, Power Capacitors, Luminaires for Domestic, Commercial and Industrial Applications."
171,CARS24,3.7,Internet ,"Job Security, Promotions / Appraisal, Work Satisfaction", Gurgaon ,2.9, 5k-10k ,
172,Team Lease,4.0,Recruitment ,Promotions / Appraisal, Bangalore/Bengaluru ,2.9, 1k-5k ,"TeamLease Services is one of India’s leading human resource companies offering a range of solutions to 3500+ employers for their hiring, productivity and scale challenges. A Fortune India 500 company listed on the NSE & BSE, Teamlease has hired 17 lac people over the last 17 years and has 2 lac+ open jobs everyday. One of India’s fastest growing employers, Teamlease also operates India’s first Vocational University and India’s fastest growing PPP National Apprenticeship Program. The company offers solutions to large, medium and small clients across the 3Es of employment (1.5 lac+ employees), employability (2 lac+ students) and Ease-of-doing Business (1000+ employers).

The Company in partnership with the Government of Gujarat set up TeamLease Skills University (TLSU), India’s first vocational university, at Vadodara. In FY2015, TeamLease rolled out NETAP (National Employability through Apprenticeship Program) to provide on-the-job training to apprentices. The company at present has nearly 2,00,000 associates/trainees spread across the country in 6,600+ locations and has till date given employment to 1.7+ million people with an aim to hire millions more.

At TeamLease, we believe the 3E (Employment, Employability and Ease of Doing Business) opportunity model is the foundation for our sustainable growth. We have aligned our strategies to capitalize on the opportunities rising around these three fundamentals."
173,Subros,4.0,Auto Components ,"Job Security, Skill Development / Learning, Company Culture", Noida ,2.8, 1k-5k ,"Subros Limited, founded in 1985 as a joint venture public limited company with 40% ownership by Suri family of India and 13% ownership by Denso Corporation & Suzuki Motor Corporation each. It is the leading manufacturer of thermal products for automotive applications in India, in technical collaboration with Denso. The company has grown from a capacity of 15,000 AC units in 1985 comprising of largely an assembly operation, into the largest and only integrated manufacturing unit in India for Auto Air Conditioning systems. Subros manufactures compressors, Condensers, Heat Exchangers and all connecting elements required to complete AC loop and caters to all segments viz. Passenger Vehicles, Buses, Trucks, Refrigeration Transport, off- roaders & Railways. Subros has manufacturing plants at Noida (2 nos.), Manesar, Pune, Chennai and Sanand with an annual capacity of 1.5 Million AC Kits per annum beside a well equipped R&D Center and Tool Room at Noida."
174,Sodexo,4.1,Facility Management Services ,"Company Culture, Skill Development / Learning, Work Life Balance", Issy les Moulineaux ,2.8, 10k-50k ,"Improving quality of life
Everything we do is about improving people’s daily lives. We believe healthy school meals make kids do better. That relaxed patients recover faster. And organizations with engaged employees perform better. With our unique wide range of integrated services, this is what our On-site, Benefits and Rewards and Personal Home services do every day.

Our conviction is that doing good business in a good way has a powerful positive impact on the 100 million consumers we serve everyday.

We create quality of life when we integrate our unique wide range of On-site, Benefits and Rewards and Personal and Home Services.

From your first day at school, to your workplace, to providing comfortable and safe care facilities in your old age, we’re here to help every step of the way.

Our On-site services encompass food, facilities management and workplace & technical management services.

By doing business in a responsible way, we aid the economic, social and environmental development of everywhere we operate - monitoring progress through Better Tomorrow 2025.We are guided by a strong sense of purpose."
175,Abbott,4.2,Pharma ,"Company Culture, Salary & Benefits, Work Life Balance", Illinois City ,2.8, 10k-50k ,"From removing the regular pain of fingersticks as people manage their diabetes to connecting patients to doctors with real-time information monitoring their hearts, from easing chronic pain and movement disorders to testing half the world’s blood donations to ensure a healthy supply, our purpose is to make the world a better place by bringing life-changing health technologies to the people who need them. That’s our commitment to helping you live your best life."
176,VE Commercial Vehicles,4.1,Automobile ,"Job Security, Skill Development / Learning, Company Culture", Gurgaon/Gurugram ,2.8, 1k-5k ,"VE Commercial Vehicles Limited is a joint venture between the Volvo Group (Volvo) and Eicher Motors Limited (EML), headquartered at New Delhi since July 2008. It is a partnership that brings together global leadership in technology, quality, safety, and environmental care, and aims at driving modernization in the commercial transportation, both in India as well as other developing markets.The first Eicher truck was rolled out from its manufacturing plant at Pithampur, Madhya Pradesh in 1986, and after completing 33 years of operations in June 2019, the products have got endorsement from happy customers of over 7,41,786 vehicle"
177,Indian Oil Corporation,4.5,Oil & Gas ,"Company Culture, Work Life Balance, Skill Development / Learning", Delhi/NCR ,2.8, 10k-50k ,"Indian Oil is India's #1 oil refiner. Of India's 20 refineries, the company owns 10, which have a combined capacity of 67.7 million metric tons per year (34% of India's total refining capacity). The group also owns more than 10,900 kilometers of pipeline and operates a chain of some 18,640 gas stations across India. India's largest commercial enterprise, Indian Oil has 71% of India's downstream pipeline throughput capacity, and its network of 35,600 retail outlets represents 49% of the country's petroleum products market share. The group also provides cooking gas to more than 50 million households. The company also has a 63% market share of India aviation fuel sector."
178,Whitehat jr,3.5,EdTech ,"Job Security, Promotions / Appraisal, Work Satisfaction", Mumbai ,2.8, 5k-10k ,"Today, in the computer age, less than 1% of schools teach coding in early childhood resulting in a major gap in the requirements of the new world and our children's skills. WhiteHat Jr introduces and prepares your kid from 6-18 years for this new coding world. They learn fundamentals of coding--logic, structure, sequence and algorithmic thinking--to generate creative outcomes like animations and apps. All classes are taught Live 1:1 Online in the comfort of your home by Top 1% of certified teachers and subject matter experts."
179,Ford Motor,4.5,Automobile ,"Company Culture, Work Life Balance, Salary & Benefits", Dearborn ,2.8, 5k-10k ,"Since 1903, Ford Motor Company has built iconic vehicles, including Model T, Continental, Mustang, F-series, and Bronco. We have also manufactured many other products, such as airplanes, radios, refrigerators, postal machines, and weather satellites"
180,Indian Air Force,4.7,Defence & Aerospace ,"Job Security, Skill Development / Learning, Salary & Benefits", New Delhi ,2.6, 1 Lakh+ ,The Indian Air Force is the air arm of the Indian Armed Forces. Its complement of personnel and aircraft assets ranks fourth amongst the air forces of the world. Its primary mission is to secure Indian airspace and to conduct aerial warfare during armed conflict.
181,Vishal Mega Mart,3.8,Retail ,Salary & Benefits, Gurgaon/Gurugram ,2.6, 10k-50k ,"Vishal Mega Mart, one of the pioneers of retailing in India, is represented through its 590+ brick and mortar stores across the length and breadth of the country. We strive to make the aspirations of our customers affordable. Having said that we do everything that can take us nearer to our goal. Our proposition -best price, best assortment and best quality makes us unique among the millions of our customers who give us a chance to service them daily. While our stores house groceries, FMCG, fashion, household, electronics among other categories, we are currently online with fashion apparel only catering to men, women & kids Fashion. Our assortments online include Jeans, t-shirts, tops, casual shirts, formal shirts, trousers, ethnic wear, active wear and many more. At myvishal.com, we encourage you to indulge yourself more on online shopping with your choices of fashion assortment for all ages. What set us apart and unique is the right pricing with no compromise in quality in its products and services. With the most friendly return policy, you can visit any of our stores across India and return your order if you are not satisfied with them. Vishal is sharply focused at the needs of consumers in Apparel, General Merchandise, Grocery and Personal Care in Tier-1, Tier-2 and Tier-3 cities and towns and is dedicated to offer the best value and choice to its millions of customers."
182,Barclays,4.0,Banking ,"Job Security, Company Culture, Work Life Balance", London ,2.6, 10k-50k ,"Barclays moves, lends, invests and protects money for customers and clients worldwide.
The Board’s principal duty is to create and deliver sustainable shareholder value through setting Barclays' strategy and overseeing its implementation.

Certain responsibilities are delegated to Board Committees, which assist the Board in carrying out its functions and ensure that there is independent oversight of internal control and risk management."
183,Berger Paints,3.8,Chemicals ,"Promotions / Appraisal, Work Life Balance, Work Satisfaction", Kolkata ,2.6, 1k-5k ,"The driving forces of Berger Paints - reflect the very spirit of its founder Lewis Berger - who laid the foundations of brand Berger way back in 1760 in the UK. With modest beginnings in India in 1923, today, Berger Paints India Limited is the second largest paint company in the country with a consistent track record of being one of the fastest growing paint companies, quarter on quarter, for the past few years.

Undergoing a number of changes in ownership and nomenclature in its 88 year old history in India, the company has come a long way.

Starting out as Hadfield's (India) Limited, it had just one factory in Howrah, West Bengal. By the close of 1947, Hadfield's was acquired by British Paints (Holdings) Limited, UK and came to be known as British Paints (India) Limited. In 1983, the name of the Company was changed to Berger Paints India Limited. Currently, the majority stake is with the Delhi based Dhingra brothers. Berger Paints has established itself through a long course of time."
184,Marpu Foundation,4.9,Non-Profit ,"Company Culture, Work Satisfaction, Skill Development / Learning", Hyderabad/Secunderabad ,2.6, 51-200 ,
185,Glenmark Pharmaceuticals,4.0,Pharma ,"Job Security, Skill Development / Learning, Salary & Benefits", Mumbai ,2.6, 10k-50k ,"Glenmark is a leading global innovative pharmaceutical company committed to enriching lives worldwide. Our vision is to discover possibilities and make lives of patients better across the globe by developing cures for unmet medical needs. We have a rich pipeline of innovative molecules in various phases of development which are targeted in areas of oncology, respiratory and dermatology."
186,Ipca Laboratories,4.0,Pharma ,"Job Security, Work Life Balance, Skill Development / Learning", Mumbai ,2.6, 10k-50k ,"For more than 60 years, Ipca has been partnering healthcare globally in over 110 countries and in markets as diverse as Africa, Asia, Australia, Europe and the US. Ipca is a fully-integrated Indian pharmaceutical company manufacturing over 350 formulations and 80 APIs for various therapeutic segments. We are one of the world's largest manufacturers and suppliers of over a dozen APIs. These are produced right from the basic stage at manufacturing facilities inspected by the world's most discerning drug regulatory authorities like US-FDA, UK-MHRA, EDQM-Europe, WHO-Geneva and many more. Ipca is a therapy leader in India for anti-malarials with a market-share of over 34% with a fast expanding presence in the international market as well. We also lead in DMARDs (Disease Modifying Anti-Rheumatic Drugs) treatment for rheumatoid arthritis. We have leading brands in 5 therapeutic areas, with 4 of our branded formulations being ranked among the Top-300 Indian brands by ORG-IMS."
